11	33	15	15	49	17
16	16	16	16	24	16
29	55	29	13	55	15
9	11	9	9	11	11
21	9	21	21	9	21
13	35	13	13	35	15
31	47	31	39	63	39
13	19	13	15	29	19
16	16	16	16	24	16
5	7	5	5	7	7
17	9	17	25	9	41
7	25	7	7	37	17
7	15	7	7	15	7
1	3	1	1	3	3
26	24	26	30	24	34
7	3	7	7	3	7
7	9	7	7	9	9
14	38	14	54	46	54
7	15	7	15	15	15
3	21	7	7	21	9
13	45	13	13	45	13
9	9	9	5	9	7
16	16	16	16	24	16
5	11	9	9	27	19
19	63	19	47	63	47
7	7	7	7	7	7
6	6	6	6	6	6
43	41	43	37	41	41
16	16	16	8	24	16
5	13	5	13	21	5
37	53	37	93	69	93
13	5	13	5	5	5
29	35	29	29	35	31
9	15	9	25	15	27
19	11	19	23	11	23
16	24	16	32	24	32
7	15	7	7	23	7
13	15	13	29	35	31
10	22	10	22	26	26
13	45	13	29	45	21
16	16	16	8	24	16
5	7	5	5	7	7
13	45	13	29	45	45
17	25	17	33	33	33
19	27	19	19	51	35
5	9	5	17	9	17
27	27	27	19	35	19
7	9	7	15	21	17
7	15	7	7	15	7
5	7	5	13	19	15
26	24	26	30	30	34
7	3	7	7	3	7
7	9	7	7	9	9
6	6	6	18	6	22
1	1	1	1	1	1
3	9	7	7	9	9
1	1	1	1	1	1
10	10	10	14	14	14
9	13	9	13	21	15
16	16	16	8	24	16
5	11	9	9	11	11
11	11	11	19	11	19
7	7	7	7	7	7
6	6	6	2	6	6
3	7	3	7	9	9
67	111	67	83	115	85
19	33	15	11	21	11
13	17	13	21	25	25
2	2	2	2	2	2
6	6	6	6	6	6
12	12	12	28	12	28
12	12	12	28	12	28
2	2	2	2	2	2
6	6	6	6	6	6
16	40	16	48	40	48
6	6	6	6	6	6
8	8	8	16	8	16
16	16	16	32	16	32
16	4	16	4	4	4
26	10	26	10	10	10
16	4	16	4	4	4
8	16	8	16	16	16
42	42	42	82	42	82
8	4	8	4	4	4
14	14	14	14	14	14
28	12	28	12	12	12
16	48	16	48	48	48
8	8	8	24	8	32
2	2	2	2	2	2
8	8	8	16	8	16
12	12	12	28	12	28
0	0	0	0	0	0
32	16	32	16	16	16
8	8	8	16	8	16
2	2	2	2	2	2
9	25	9	25	25	25
18	34	18	34	34	34
10	42	10	42	42	42
30	30	30	22	46	38
12	12	12	28	12	28
12	12	12	28	12	28
26	30	26	14	30	14
14	14	14	14	14	14
24	4	24	8	12	16
26	10	26	18	10	18
4	4	4	4	4	4
0	0	0	0	0	0
24	24	24	24	24	24
4	8	4	4	8	4
8	28	8	36	28	36
10	18	10	6	18	6
18	34	18	34	34	34
2	2	2	2	2	2
8	8	8	16	8	16
28	12	28	12	12	12
8	8	8	16	8	16
8	8	8	8	8	8
26	30	26	22	30	22
4	4	4	4	4	4
26	26	26	26	26	26
16	8	16	8	8	8
10	6	10	10	6	10
4	4	4	4	4	4
8	16	8	16	16	16
30	30	30	70	30	70
8	4	8	4	4	4
14	14	14	14	14	14
0	0	0	0	0	0
0	0	0	0	0	0
5	9	5	9	9	9
8	4	8	4	4	8
15	31	15	23	31	23
10	18	10	18	18	18
4	24	4	8	24	8
16	8	16	16	8	16
8	8	8	16	8	16
2	2	2	2	2	2
14	26	14	30	26	30
8	8	8	8	8	8
4	4	4	8	4	8
2	2	2	2	2	2
7	7	7	7	7	7
23	23	23	23	23	23
23	31	23	23	31	23
9	9	9	9	9	9
60	44	60	28	44	28
3	3	3	3	3	3
32	24	32	64	24	56
57	33	57	25	33	25
12	12	12	12	12	4
28	60	28	36	44	28
10	26	10	34	26	26
36	52	36	28	44	28
33	57	33	57	49	49
7	15	7	15	23	15
8	24	8	8	16	8
3	19	3	3	35	15
29	61	29	29	61	29
5	9	5	9	9	9
6	14	6	14	14	14
13	61	13	53	77	109
9	33	9	33	33	33
5	9	5	9	9	9
7	15	7	15	23	31
5	9	5	9	9	9
6	38	6	14	54	22
12	12	12	20	16	20
1	1	1	1	1	1
10	18	10	18	26	26
4	12	4	12	12	12
4	16	4	16	16	16
2	2	2	2	2	2
5	5	5	13	5	21
8	16	8	32	24	64
2	2	2	2	2	2
9	9	9	17	9	17
5	13	5	13	37	21
1	1	1	1	1	1
4	8	4	8	4	8
1	1	1	1	1	1
44	44	44	28	44	28
34	34	34	34	34	34
6	6	6	6	6	6
24	24	24	16	24	16
16	16	48	64	48	64
16	4	16	4	4	4
54	54	78	58	78	58
8	20	8	8	20	8
18	18	18	18	18	18
4	4	4	4	4	4
34	18	34	18	18	18
4	4	4	4	4	4
32	16	32	16	16	16
2	2	2	2	2	2
33	33	33	49	33	51
3	7	3	7	9	9
19	29	15	11	21	11
7	9	7	9	11	11
