1	1	0	1	1	0	3	1	0	3	1	0	0	1	0	3	1	0	3	2	0	5	1	0	0	1	0	3	1	0	15	15	7	7	15	7
1	1	0	1	1	0	2	2	0	2	2	0	1	0	0	1	3	0	3	3	0	2	4	0	1	0	0	1	3	0	19	19	5	5	19	5
0	1	1	0	1	1	0	3	1	0	3	1	0	0	0	0	2	1	0	3	1	0	5	1	0	0	0	0	2	1	23	3	23	23	3	3
2	2	2	1	1	1	1	1	2	1	1	2	2	1	1	2	1	2	3	2	3	2	1	3	2	1	1	2	1	2	15	55	9	21	133	47
2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	3	3	2	2	1	2	2	2	2	2	1	15	15	15	15	15	15
2	2	2	1	1	1	2	1	1	2	1	1	1	2	2	3	2	2	3	3	3	5	2	2	1	2	2	3	2	2	91	91	51	29	51	29
2	2	2	1	1	1	1	2	1	1	2	1	2	1	2	1	2	3	3	3	3	1	3	3	2	1	2	1	2	3	29	17	41	15	17	11
2	2	2	1	1	1	1	2	2	1	2	2	2	1	1	1	2	1	3	3	3	1	3	2	2	1	1	1	2	1	7	7	41	29	19	33
0	1	1	0	1	1	0	2	1	0	2	1	0	1	2	0	2	2	0	3	3	0	3	2	0	1	2	0	2	2	25	11	25	25	11	11
2	2	2	1	1	1	1	1	3	1	1	3	0	2	0	1	1	2	1	3	3	1	1	5	0	2	0	1	1	2	3	3	9	21	55	43
2	2	2	1	1	1	2	2	1	2	2	1	1	1	2	1	3	1	3	3	3	2	5	1	1	1	2	1	3	1	33	19	29	41	7	7
1	1	0	1	1	0	2	2	0	2	2	0	1	1	0	3	2	0	3	3	0	5	3	0	1	1	0	3	2	0	25	25	15	15	25	15
1	0	1	1	0	1	3	0	2	3	0	2	0	0	1	3	0	2	3	0	3	5	0	3	0	0	1	3	0	2	3	3	3	11	11	11
0	1	1	0	1	1	0	2	1	0	2	1	0	0	1	0	2	1	0	2	2	0	3	1	0	0	1	0	2	1	5	7	5	5	7	7
2	2	2	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	2	3	3	2	1	3	1	2	1	2	1	2	9	21	9	21	59	71
0	1	1	0	1	1	0	3	1	0	3	1	0	0	2	0	2	2	0	3	3	0	5	2	0	0	2	0	2	2	27	11	27	27	11	11
2	2	2	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	3	2	3	3	1	2	1	1	2	2	1	2	47	133	21	9	55	15
2	2	2	1	1	1	1	2	2	1	2	2	1	1	0	1	1	3	2	3	3	1	2	4	1	1	0	1	1	3	7	7	19	71	17	85
2	2	2	1	1	1	2	3	1	2	3	1	0	0	1	1	2	1	2	3	2	2	4	1	0	0	1	1	2	1	47	23	119	71	11	35
0	1	1	0	1	1	0	2	2	0	2	2	0	0	1	0	3	2	0	3	3	0	4	3	0	0	1	0	3	2	5	19	5	5	19	19
2	2	2	1	1	1	1	1	3	1	1	3	2	2	0	2	1	3	3	3	3	2	1	6	2	2	0	2	1	3	29	51	29	17	121	89
2	2	2	1	1	1	3	1	2	3	1	2	0	1	1	3	1	1	3	2	3	5	1	2	0	1	1	3	1	1	15	37	7	7	49	19
2	2	2	1	1	1	1	2	2	1	2	2	2	0	1	1	1	1	3	2	3	1	2	2	2	0	1	1	1	1	7	7	19	19	7	7
